,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
Test.gain.without.closed_shrubland,-19720820,9625.985,26089.46,147.5599,8.3572,-34089.39,12179.95,1755.899,-85948.9,-5505.779,-1979655
Test.gain.without.croplands,-61896.3431,385705.5642,37995857.404,-685.7032,-843.6681,-399755.574,10008.3671,78708.9476,-764042.5001,-804834.6947,3643822.18
Test.gain.without.deciduous_broadleaf_forest,-436551.1007,11402.4823,59755.4915,94.5643,6385.3535,-1200078.9593,1554.1727,46161.139,-3113253.8186,-505.3932,-462503.6068
Test.gain.without.deciduous_needleleaf_forest,-90582.701,20822.4859,48803.9033,154.9626,55.3845,-66139.4322,2007.399,2026.0313,-236675.6368,-18877.4287,-33840.5032
Test.gain.without.evergreen_broadleaf_forest,-99533790,20822.49,225003.3,103.3294,46.4471,-51417760,31726.86,496.2949,-30179.54,-9979.426,-15071350
Test.gain.without.evergreen_needleleaf_forest,-18705.0268,21003.3337,6091.5332,103.0886,25.0333,-31130.81,8620.189,15599266.6264,-48536.8536,-22324.823,1551441.2291
Test.gain.without.grasslands,-1155599.4101,4015.0317,4560.9867,119.2707,-258.9848,-51819.9568,65028.1438,712.1217,-989592.1988,-2627.7729,-212546.2769
Test.gain.without.mixed_forests,-22951890,154682,51154140,-13.7242,3.0788,-73119.57,4042.433,747950.1,-5058092,-2657.298,2397504
Test.gain.without.open_shrublands,-197311.7536,97758.0635,-633715.4234,81.2616,-1.5336,-54974.2412,3281.9819,94276.0935,-1084.4424,-9686154.9215,-1037784.4915
Test.gain.without.precipitation_seasonality,-133742,4016.761,3911.879,48.585,-707.7256,-14626520,66025.03,59267.64,-7517.777,-1613706,-1624892
Test.gain.without.savannas,13.9632,-7438.5287,6.8402,-131.5129,10.9655,-9875.3734,-37268.763,11.594,2.3191,5.5699,-5466.2926
Test.gain.without.snow_ice,6.3643,5.9141,5.5861,5.9859,5.9583,4.8615,5.6896,5.8922,6.1368,5.9853,5.8374
Test.gain.without.temperature_seasonality,-27793.4342,91118.1647,1506.9682,84.9643,10.532,-7274.0292,14032.4005,517.0975,-8715.1149,-469.1706,6301.8378
Test.gain.without.urban_areas,-3776286,61252.12,56208640,-2.223,17.2529,-41268.03,171997.4,132989600,-11523360,-25187.6,17406540
Test.gain.without.wetlands,-1109181,3115.586,13300.57,101.9583,16.2319,-35812.97,48191.81,-22362940,-1800.355,-675102.3,-2412011
Test.gain.without.woody_savannas,-153902.2214,7889.0108,1294.3502,107.1725,-778534.2486,-198626.1535,9082.602,103467.3817,-4785741.4207,-6438.6407,-580140.2168
Test.gain.with.only.annual_mean_temperature,1.8394,1.8272,1.8657,1.6045,1.4827,1.5885,1.9254,1.7608,1.7891,1.6784,1.7362
Test.gain.with.only.annual_precipitation,0.7929,1.0225,0.8705,1.1942,0.8407,0.9246,0.852,0.8995,1.0555,0.8334,0.9286
Test.gain.with.only.barren_vegetation,0.4681,0.4404,0.4404,0.4681,0.4681,0.4404,0.4404,0.4681,0.4404,0.4681,0.4542
Test.gain.with.only.closed_shrubland,-0.0044,-0.0044,0,-0.0082,0.0011,-0.0014,-0.0031,-0.0044,-0.0044,-0.0031,-0.0032
Test.gain.with.only.croplands,0.3442,0.3081,0.3016,0.2503,0.1737,0.2475,0.3042,0.3168,0.3307,0.3236,0.2901
Test.gain.with.only.deciduous_broadleaf_forest,0.0203,0.0203,0.0203,0.0203,0.0072,0.0203,0.0072,-0.0058,0.0203,-0.0058,0.0125
Test.gain.with.only.deciduous_needleleaf_forest,-9e-04,0.0054,-0.0072,-0.0038,0.0062,-0.075,-0.0092,-0.0092,-0.0072,8e-04,-0.01
Test.gain.with.only.evergreen_broadleaf_forest,0,0,0,0,0,0,0,0,0,0,0
Test.gain.with.only.evergreen_needleleaf_forest,0.2799,0.3864,0.4067,0.3974,0.3386,0.1553,-0.1667,0.1302,0.2811,0.3668,0.2576
Test.gain.with.only.grasslands,1.3121,1.2887,1.5061,1.6369,1.5051,1.6121,1.0378,1.2144,1.3561,1.4553,1.3925
Test.gain.with.only.mixed_forests,-0.0768,0.1776,0.1706,0.1908,0.0556,0.0578,0.0549,0.1391,0.184,0.1129,0.1066
Test.gain.with.only.open_shrublands,1.307,0.9889,1.1679,0.9898,1.1584,1.2046,0.9528,1.1611,1.2066,1.0356,1.1173
Test.gain.with.only.precipitation_seasonality,0.8053,0.7918,0.7122,0.8986,0.9103,0.7677,0.7089,0.6518,0.919,0.7482,0.7914
Test.gain.with.only.savannas,0.1888,0.2513,0.0804,0.2146,0.3471,0.3679,0.1818,0.3061,0.318,0.2132,0.2469
Test.gain.with.only.snow_ice,0.3484,1.0669,1.1707,0.8275,0.3573,0.2694,0.8756,0.7797,0.5835,0.1446,0.6424
Test.gain.with.only.temperature_seasonality,0.3507,0.592,0.6673,0.7293,0.6921,0.656,0.3094,0.3991,0.6294,0.4994,0.5525
Test.gain.with.only.urban_areas,0.1006,0.1006,0.0479,0.0479,0.0428,0.0428,0.1006,0.0479,0.1006,0.1006,0.0732
Test.gain.with.only.wetlands,0.0548,0.0569,0.0569,0.0321,0.0426,-0.1111,-0.0456,0.05,0.0496,0.0496,0.0236
Test.gain.with.only.woody_savannas,0.5129,0.3145,0.3822,0.1369,0.392,0.3327,0.3081,0.484,0.466,0.3614,0.3691
AUC.without.annual_mean_temperature,0.5171,0.5151,0.9428,0.9436,0.5166,0.4989,0.5336,0.9262,0.5645,0.9195,0.6878
AUC.without.annual_precipitation,0.6553,0.5341,0.51,0.9516,0.5172,0.5509,0.8596,0.9166,0.4999,0.7054,0.6701
AUC.without.barren_vegetation,0.4999,0.5171,0.5326,0.9571,0.5689,0.3701,0.8942,0.7695,0.5,0.9143,0.6524
AUC.without.closed_shrubland,0.5862,0.5162,0.5149,0.9639,0.9937,0.6637,0.8872,0.9343,0.8586,0.6476,0.7566
AUC.without.croplands,0.6025,0.517,0.5165,0.9566,0.7532,0.5687,0.5342,0.5498,0.5,0.4998,0.5998
AUC.without.deciduous_broadleaf_forest,0.4998,0.517,0.5862,0.955,0.7236,0.5517,0.8819,0.7065,0.5,0.9345,0.6856
AUC.without.deciduous_needleleaf_forest,0.5515,0.5117,0.6026,0.9658,0.9922,0.5,0.884,0.9349,0.4986,0.5334,0.6975
AUC.without.evergreen_broadleaf_forest,0.5,0.5117,0.517,0.9612,0.9903,0.5517,0.5344,0.9323,0.9446,0.8166,0.726
AUC.without.evergreen_needleleaf_forest,0.9103,0.5137,0.9435,0.9641,0.9896,0.8595,0.8514,0.5862,0.8424,0.5,0.7961
AUC.without.grasslands,0.5861,0.5161,0.7395,0.9545,0.9554,0.5503,0.5293,0.9342,0.5,0.7929,0.7058
AUC.without.mixed_forests,0.5,0.6206,0.5152,0.9434,0.9674,0.8067,0.8871,0.534,0.8612,0.8969,0.7533
AUC.without.open_shrublands,0.517,0.5172,0.9338,0.952,0.9674,0.666,0.8702,0.6643,0.9476,0.5,0.7535
AUC.without.precipitation_seasonality,0.5857,0.5144,0.932,0.961,0.6633,0.586,0.4648,0.5811,0.9158,0.5,0.6704
AUC.without.savannas,0.9839,0.5343,0.9772,0.9373,0.986,0.8677,0.7949,0.9836,0.9777,0.9898,0.9032
AUC.without.snow_ice,0.9926,0.9947,0.9847,0.9908,0.9872,0.9881,0.9908,0.9923,0.996,0.9892,0.9906
AUC.without.temperature_seasonality,0.962,0.5169,0.5172,0.9282,0.9547,0.8412,0.5916,0.9291,0.8592,0.9402,0.804
AUC.without.urban_areas,0.5517,0.534,0.5148,0.9599,0.9908,0.5861,0.672,0.5344,0.5172,0.6029,0.6464
AUC.without.wetlands,0.5681,0.8337,0.5163,0.9806,0.9891,0.8745,0.5685,0.6034,0.9673,0.5172,0.7419
AUC.without.woody_savannas,0.4982,0.5168,0.9465,0.9645,0.5,0.8592,0.5344,0.5499,0.9083,0.9074,0.7185
AUC.with.only.annual_mean_temperature,0.944,0.9432,0.9458,0.9289,0.9181,0.9253,0.954,0.9388,0.9408,0.9321,0.9371
AUC.with.only.annual_precipitation,0.8356,0.8494,0.8393,0.8864,0.81,0.8101,0.8033,0.8347,0.8566,0.8153,0.8341
AUC.with.only.barren_vegetation,0.6917,0.6809,0.6809,0.6917,0.6917,0.6809,0.6809,0.6917,0.6809,0.6917,0.6863
AUC.with.only.closed_shrubland,0.4895,0.4895,0.5,0.469,0.507,0.4731,0.5065,0.4895,0.4895,0.5065,0.492
AUC.with.only.croplands,0.7123,0.6625,0.6617,0.6266,0.6422,0.6704,0.6727,0.6854,0.6773,0.6649,0.6676
AUC.with.only.deciduous_broadleaf_forest,0.5254,0.5254,0.5254,0.5254,0.5134,0.5254,0.5134,0.5089,0.5254,0.5089,0.5197
AUC.with.only.deciduous_needleleaf_forest,0.4737,0.5111,0.4902,0.4823,0.5115,0.4557,0.4732,0.4732,0.4902,0.4824,0.4843
AUC.with.only.evergreen_broadleaf_forest,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AUC.with.only.evergreen_needleleaf_forest,0.6527,0.6728,0.7151,0.6989,0.6721,0.6274,0.5336,0.6024,0.6552,0.6821,0.6512
AUC.with.only.grasslands,0.8869,0.8988,0.911,0.9359,0.9224,0.9357,0.8689,0.8794,0.9008,0.9187,0.9058
AUC.with.only.mixed_forests,0.4864,0.6511,0.6444,0.6531,0.5674,0.5849,0.5614,0.6129,0.6535,0.5951,0.601
AUC.with.only.open_shrublands,0.9017,0.8485,0.8747,0.8438,0.871,0.883,0.8459,0.8775,0.8783,0.8513,0.8676
AUC.with.only.precipitation_seasonality,0.8279,0.824,0.804,0.8481,0.8525,0.8206,0.8123,0.7967,0.8589,0.8191,0.8264
AUC.with.only.savannas,0.5956,0.6107,0.5587,0.5946,0.6477,0.6464,0.5958,0.6292,0.6287,0.6131,0.6121
AUC.with.only.snow_ice,0.5948,0.6993,0.7328,0.6802,0.611,0.5782,0.6651,0.6637,0.6294,0.5764,0.6431
AUC.with.only.temperature_seasonality,0.7285,0.7888,0.8126,0.8336,0.8188,0.8052,0.7202,0.7361,0.7985,0.7616,0.7804
AUC.with.only.urban_areas,0.5625,0.5625,0.5453,0.5453,0.5436,0.5436,0.5625,0.5453,0.5625,0.5625,0.5536
AUC.with.only.wetlands,0.5331,0.5489,0.5489,0.532,0.5165,0.4831,0.4991,0.5173,0.5324,0.5324,0.5244
AUC.with.only.woody_savannas,0.7579,0.6802,0.7007,0.6292,0.6991,0.6848,0.685,0.738,0.738,0.698,0.7011
Entropy,0,0,0,4.0042,4.2418,4.3983,3.8865,3.5688,0,0,2.01
Prevalence..average.probability.of.presence.over.background.sites.,1e-04,1e-04,1e-04,0.0033,0.0041,0.0047,0.0029,0.0021,1e-04,1e-04,0.0018
Fixed.cumulative.value.1.cumulative.threshold,1,1,1,1,1,1,1,1,1,1,1
Fixed.cumulative.value.1.Cloglog.threshold,0.6321,0.6321,0.6321,0.0561,0.0334,0.0149,0.0398,0.0543,0.6321,0.6321,0.3359
Fixed.cumulative.value.1.area,1e-04,1e-04,1e-04,0.008,0.0118,0.0191,0.0079,0.0052,1e-04,1e-04,0.0053
Fixed.cumulative.value.1.training.omission,0.958,0.9664,0.5798,0.3109,0.1933,0.0924,0.3277,0.4706,0.8067,0.958,0.5664
Fixed.cumulative.value.1.test.omission,1,0.9655,0.7931,0.4138,0.3103,0.3103,0.4138,0.6207,0.8621,1,0.669
Fixed.cumulative.value.1.binomial.probability,0.5215,0,0,0,0,0,0,0,0,0.5215,0.1043
Fixed.cumulative.value.5.cumulative.threshold,5,5,5,5,5,5,5,5,5,5,5
Fixed.cumulative.value.5.Cloglog.threshold,0.6321,0.6321,0.6321,0.1544,0.1362,0.0842,0.1353,0.1491,0.6321,0.6321,0.382
Fixed.cumulative.value.5.area,1e-04,1e-04,1e-04,0.0062,0.0085,0.0107,0.0058,0.0039,1e-04,1e-04,0.0036
