,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
Training.gain.with.only.deciduous_needleleaf_forest,5e-04,0.0028,0.0017,0.0039,0.0028,0.0025,0.005,0.0014,0.0013,0.0038,0.0026
Training.gain.with.only.evergreen_broadleaf_forest,0,0,0,0,0,0,0,0,0,0,0
Training.gain.with.only.evergreen_needleleaf_forest,1.1661,1.1026,1.1198,1.1604,1.1748,1.1357,1.2177,1.107,1.1994,1.1114,1.1495
Training.gain.with.only.grasslands,0.9273,0.9193,0.8909,0.9384,0.897,0.9821,0.9186,0.9616,0.899,0.9512,0.9285
Training.gain.with.only.mixed_forests,0.4115,0.3588,0.3401,0.3764,0.4258,0.3619,0.4269,0.3802,0.4083,0.3657,0.3856
Training.gain.with.only.open_shrublands,0.5357,0.5177,0.5747,0.5658,0.5714,0.6169,0.4743,0.6118,0.5414,0.5295,0.5539
Training.gain.with.only.precipitation_seasonality,0.8628,0.8532,0.8255,0.8709,0.8477,0.8544,0.8376,0.8663,0.8484,0.8639,0.8531
Training.gain.with.only.savannas,0.256,0.2735,0.1635,0.2001,0.1932,0.2481,0.2151,0.2116,0.2486,0.181,0.2191
Training.gain.with.only.snow_ice,0.074,0.0469,0.0603,0.1006,0.0544,0.0823,0.062,0.0605,0.0836,0.1004,0.0725
Training.gain.with.only.temperature_seasonality,0.3806,0.3718,0.3671,0.3883,0.362,0.4189,0.3481,0.3981,0.3637,0.4188,0.3817
Training.gain.with.only.urban_areas,0.0346,0.036,0.0346,0.0509,0.0454,0.0267,0.0356,0.0367,0.0334,0.0494,0.0383
Training.gain.with.only.wetlands,0.0316,0.0406,0.0342,0.0447,0.0239,0.0447,0.0316,0.0287,0.023,0.0298,0.0333
Training.gain.with.only.woody_savannas,1.1599,1.1705,1.1477,1.1268,1.1552,1.2043,1.0968,1.2344,1.1035,1.1171,1.1516
Test.gain.without.annual_mean_temperature,489487000,237.4224,130.2624,-37280.86,-13005.63,10.9815,-30675.53,3.7348,4.0002,3.6553,48940640
Test.gain.without.annual_precipitation,51.3551,221.4806,61.3754,3.2457,3.735,1355.1328,-49998.3114,4.0695,-160459.3252,3.6302,-20875.3612
Test.gain.without.barren_vegetation,747099.9806,128.6975,454.3061,3.2842,3.5557,134.1239,-42462.2102,4.0803,3.999,3.7529,70537.357
Test.gain.without.closed_shrubland,40.5697,93.1498,97.6786,3.3051,3.5286,53.7916,4.3566,-13025.6936,4.0619,3.7911,-1272.1461
Test.gain.without.croplands,55.7127,67.1323,40.192,3.5793,-257475.917,11.4004,4.231,3.655,3.9557,3.6185,-25728.244
Test.gain.without.deciduous_broadleaf_forest,-3.2032,4.3782,2.7806,3.2257,3.4951,3.375,4.2426,3.9422,4.0661,3.8038,3.0106
Test.gain.without.deciduous_needleleaf_forest,11.6338,65.728,127.5072,3.1315,-144.4697,19.1487,-1564564.574,4.0159,4.0194,3.8317,-156447.0027
Test.gain.without.evergreen_broadleaf_forest,10.6679,127.7888,136.5274,3.2678,-1875.41,19.896,-2385298.4101,4.0088,4.0323,3.8274,-238686.3804
Test.gain.without.evergreen_needleleaf_forest,64.8877,38.7216,56.4115,3.0591,3.4352,56.2366,4.1246,3.8609,3.9658,3.8496,23.8553
Test.gain.without.grasslands,19.0009,83.7433,16.7959,3.5191,-72029.7146,76.0511,4.3304,3.8928,3.947,3.8165,-7181.4618
Test.gain.without.mixed_forests,5119600.4207,476750.8147,118.3181,3.4789,3.576,53.5248,4.1333,3.6999,4.0883,3.6782,559654.5733
Test.gain.without.open_shrublands,55.0215,73.6837,244.9808,3.2594,3.5979,98.5854,4.3855,-85782.5312,3.9572,3.7743,-8529.1285
Test.gain.without.precipitation_seasonality,173.5502,31.9739,78.4342,3.4226,3.53,63.0258,4.2575,3.9561,4.0609,3.8513,37.0062
Test.gain.without.savannas,114.2268,59.937,81.8062,3.3784,3.6266,85.0612,4.15,-12957580,4.0088,3.6833,-1295722
Test.gain.without.snow_ice,0.4653,4.3395,3.4742,3.4537,3.5578,3.3978,4.4156,3.9739,4.0061,3.9107,3.4995
Test.gain.without.temperature_seasonality,183.9372,17.1686,26.9504,3.3396,3.4045,81.0948,3.9678,3.588,3.674,3.6008,33.0726
Test.gain.without.urban_areas,131.2356,51.8619,92907098.4513,-6983.5107,2.2255,17.7565,4.1732,-8171.9377,3.8731,3.5721,9289215.7701
