,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
Test.gain.with.only.deciduous_broadleaf_forest,-0.0091,0.0049,0.0026,0.0275,0.0272,0.0015,0.0182,0.0273,0.055,-0.0209,0.0134
Test.gain.with.only.deciduous_needleleaf_forest,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049
Test.gain.with.only.evergreen_broadleaf_forest,0,0,0,0,0,0,0,0,0,0,0
Test.gain.with.only.evergreen_needleleaf_forest,7e-04,0.0157,0.0298,0.0277,0.0273,0.0288,5e-04,0.03,0.0237,-0.0584,0.0126
Test.gain.with.only.grasslands,0.51,0.3372,0.5311,0.3497,0.5037,0.4323,0.4372,0.4021,0.1789,0.503,0.4185
Test.gain.with.only.mixed_forests,0.0225,0.0486,0.0324,0.0407,0.0605,0.0142,-0.0149,0.0603,0.0445,0.0262,0.0335
Test.gain.with.only.open_shrublands,-0.0193,0.0815,0.0023,-0.1422,0.0033,0.0251,0.0261,0.0328,0.0641,0.0356,0.0109
Test.gain.with.only.precipitation_seasonality,0.4273,0.3393,0.4148,0.325,0.3421,0.4001,0.2812,0.3754,0.3329,0.4295,0.3668
Test.gain.with.only.savannas,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103
Test.gain.with.only.snow_ice,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081
Test.gain.with.only.temperature_seasonality,0.4232,0.3109,0.4659,0.4773,0.514,0.5085,0.4458,0.5297,0.3474,0.4447,0.4467
Test.gain.with.only.urban_areas,0.36,0.2962,0.3928,0.3703,0.2644,0.0622,0.2521,0.3075,0.3558,0.2917,0.2953
Test.gain.with.only.wetlands,0.0173,-0.017,0.0173,0.0217,-0.017,0.0217,0.0173,0.0217,-0.017,0.0173,0.0083
Test.gain.with.only.woody_savannas,0.0254,0.0269,0.0258,0.0142,0.0262,-0.0391,0.0135,0.0072,0.045,0.0288,0.0174
AUC.without.annual_mean_temperature,0.9456,0.945,0.9431,0.9434,0.9605,0.9445,0.9358,0.9598,0.8904,0.9341,0.9402
AUC.without.annual_precipitation,0.9452,0.956,0.9423,0.7463,0.966,0.9553,0.9478,0.9579,0.8999,0.9424,0.9259
AUC.without.barren_vegetation,0.9516,0.9553,0.9482,0.9544,0.9651,0.9545,0.9477,0.9606,0.906,0.9466,0.949
AUC.without.closed_shrubland,0.9496,0.9541,0.9486,0.9537,0.9656,0.7325,0.9475,0.9492,0.8898,0.9481,0.9239
AUC.without.croplands,0.965,0.9557,0.9554,0.9543,0.966,0.963,0.9463,0.9635,0.9269,0.9534,0.9549
AUC.without.deciduous_broadleaf_forest,0.9543,0.9543,0.9497,0.953,0.9642,0.9572,0.9465,0.9596,0.8942,0.9488,0.9482
AUC.without.deciduous_needleleaf_forest,0.949,0.9548,0.9471,0.9544,0.965,0.9543,0.9471,0.9603,0.8906,0.946,0.9469
AUC.without.evergreen_broadleaf_forest,0.9487,0.9547,0.9471,0.9544,0.9648,0.9559,0.9471,0.9603,0.89,0.946,0.9469
AUC.without.evergreen_needleleaf_forest,0.9528,0.9528,0.9484,0.9549,0.9628,0.9545,0.9453,0.9601,0.8978,0.9507,0.948
AUC.without.grasslands,0.9503,0.9556,0.9491,0.9524,0.9668,0.5169,0.9479,0.9592,0.8995,0.9523,0.905
AUC.without.mixed_forests,0.9533,0.9537,0.9481,0.9528,0.9659,0.9541,0.947,0.9611,0.8822,0.9458,0.9464
AUC.without.open_shrublands,0.9514,0.954,0.9494,0.9604,0.9651,0.9575,0.9479,0.9608,0.8874,0.9478,0.9482
AUC.without.precipitation_seasonality,0.9508,0.9501,0.9479,0.9501,0.9637,0.9549,0.9508,0.957,0.8945,0.9416,0.9461
AUC.without.savannas,0.9488,0.955,0.9477,0.953,0.965,0.9271,0.9472,0.9602,0.8917,0.9459,0.9442
AUC.without.snow_ice,0.9489,0.9553,0.9475,0.9531,0.9651,0.9544,0.9476,0.9601,0.8917,0.9455,0.9469
AUC.without.temperature_seasonality,0.9443,0.9497,0.9344,0.9443,0.9579,0.5646,0.9376,0.9543,0.9032,0.941,0.9031
AUC.without.urban_areas,0.9596,0.9546,0.959,0.955,0.9628,0.9615,0.9495,0.9623,0.9458,0.9528,0.9563
AUC.without.wetlands,0.9459,0.9535,0.9444,0.9536,0.9626,0.9543,0.944,0.9614,0.8908,0.9427,0.9453
AUC.without.woody_savannas,0.9522,0.9536,0.9485,0.9527,0.9656,0.9578,0.9503,0.9588,0.8835,0.9499,0.9473
AUC.with.only.annual_mean_temperature,0.8576,0.8527,0.8351,0.8605,0.8672,0.8503,0.8737,0.8576,0.8507,0.8767,0.8582
AUC.with.only.annual_precipitation,0.8139,0.774,0.829,0.7839,0.8072,0.7978,0.77,0.8302,0.7937,0.8082,0.8008
AUC.with.only.barren_vegetation,0.6736,0.6736,0.6736,0.6736,0.6736,0.6736,0.6736,0.6736,0.6681,0.6736,0.673
AUC.with.only.closed_shrubland,0.4985,0.4985,0.4985,0.4985,0.4985,0.507,0.4985,0.5155,0.5155,0.507,0.5036
AUC.with.only.croplands,0.6585,0.6198,0.6194,0.607,0.6107,0.5812,0.6042,0.5905,0.6529,0.5995,0.6144
AUC.with.only.deciduous_broadleaf_forest,0.5066,0.515,0.5067,0.5404,0.5236,0.5067,0.5152,0.5236,0.5322,0.4982,0.5168
AUC.with.only.deciduous_needleleaf_forest,0.5035,0.5035,0.5035,0.5035,0.5035,0.5035,0.5035,0.5035,0.5035,0.5035,0.5035
AUC.with.only.evergreen_broadleaf_forest,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AUC.with.only.evergreen_needleleaf_forest,0.4955,0.512,0.5205,0.5123,0.5109,0.5218,0.5034,0.5125,0.5088,0.4786,0.5076
AUC.with.only.grasslands,0.7481,0.701,0.7664,0.7147,0.7434,0.7326,0.7285,0.7182,0.6621,0.7541,0.7269
AUC.with.only.mixed_forests,0.5265,0.5352,0.5417,0.527,0.5441,0.5419,0.5318,0.5519,0.5361,0.5258,0.5362
AUC.with.only.open_shrublands,0.5248,0.5628,0.5167,0.5218,0.5092,0.54,0.5537,0.5179,0.5415,0.5324,0.5321
AUC.with.only.precipitation_seasonality,0.7527,0.7153,0.7508,0.7098,0.7156,0.7451,0.6924,0.7329,0.7128,0.7586,0.7286
AUC.with.only.savannas,0.5061,0.5061,0.5061,0.5061,0.5061,0.5061,0.5061,0.5061,0.5061,0.5061,0.5061
AUC.with.only.snow_ice,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505
AUC.with.only.temperature_seasonality,0.744,0.7061,0.7577,0.7612,0.7669,0.7752,0.7523,0.776,0.7165,0.7484,0.7504
AUC.with.only.urban_areas,0.606,0.5897,0.6148,0.6063,0.5886,0.5465,0.589,0.5976,0.6063,0.5977,0.5942
AUC.with.only.wetlands,0.5079,0.4996,0.5079,0.5162,0.4996,0.5162,0.5079,0.5162,0.4996,0.5079,0.5079
AUC.with.only.woody_savannas,0.5353,0.5402,0.5294,0.5197,0.5282,0.5245,0.5396,0.5149,0.5619,0.5677,0.5361
