,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
Test.gain.without.grasslands,2.5981,2.6898,2.3945,2.5252,2.2467,2.2644,2.4421,2.3861,2.3793,2.5824,2.4509
Test.gain.without.mixed_forests,2.7777,2.6784,2.3968,2.4898,2.2808,2.3857,2.6656,2.3108,2.4316,2.5345,2.4952
Test.gain.without.open_shrublands,2.75,2.6541,2.4783,2.4985,2.3035,2.2782,2.6331,2.2822,2.4151,2.5718,2.4865
Test.gain.without.precipitation_of_wettest_quarter.1,2.6934,2.5042,2.2771,2.3671,2.2071,2.35,2.4609,2.0774,2.3633,2.4277,2.3728
Test.gain.without.precipitation_of_wettest_quarter.2,2.6441,2.5946,2.4046,2.5286,2.1581,2.1592,2.5422,2.2496,2.43,2.5238,2.4235
Test.gain.without.precipitation_of_wettest_quarter.3,2.8017,2.424,2.1886,2.4666,2.4061,2.3155,2.5836,1.9814,2.3366,2.5774,2.4082
Test.gain.without.precipitation_of_wettest_quarter.4,2.6773,2.5185,2.3865,2.3351,2.2427,2.3522,2.5859,2.1765,2.3371,2.4547,2.4066
Test.gain.without.savannas,2.7733,2.6636,2.5307,2.4977,2.304,2.3487,2.6479,2.2608,2.4488,2.6169,2.5092
Test.gain.without.snow_ice,2.7879,2.7104,2.4364,2.5802,2.3388,2.4409,2.6699,2.2685,2.4806,2.6231,2.5337
Test.gain.without.urban_areas,2.8236,2.6889,2.4701,2.5925,2.3347,2.3912,2.6345,2.3236,2.5346,2.609,2.5403
Test.gain.without.wetlands,2.802,2.7162,2.5009,2.6046,2.3466,2.3858,2.6421,2.2965,2.5267,2.6557,2.5477
Test.gain.without.woody_savannas,2.7706,2.6918,2.4539,2.5131,2.3543,2.3428,2.6111,2.282,2.5507,2.6323,2.5203
Test.gain.with.only.barren_vegetation,0.3221,0.3057,0.3252,0.3224,0.2164,0.3693,0.3225,0.2252,0.322,0.3653,0.3096
Test.gain.with.only.closed_shrubland,0.0055,-0.0258,0.0276,0.0598,0.0136,0.0265,0.0154,0.0116,0.0055,0.0179,0.0158
Test.gain.with.only.croplands,0.3463,0.3686,0.4214,0.3747,0.2437,0.231,0.2634,0.3509,0.5438,0.1768,0.3321
Test.gain.with.only.deciduous_broadleaf_forest,-5e-04,5e-04,-0.0033,-3e-04,-3e-04,-0.0016,5e-04,-0.009,-0.0025,-8e-04,-0.0017
Test.gain.with.only.deciduous_needleleaf_forest,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469
Test.gain.with.only.evergreen_broadleaf_forest,-5e-04,-5e-04,0,0,-5e-04,-5e-04,-5e-04,-5e-04,0,-5e-04,-3e-04
Test.gain.with.only.evergreen_needleleaf_forest,0.0216,-0.0141,-0.0223,0.0239,0.0168,0.0204,0.0023,0.0078,0.0108,0.0225,0.009
Test.gain.with.only.grasslands,0.7662,0.7866,0.7995,0.6321,0.6222,0.7938,0.9235,0.7504,0.7952,0.7183,0.7588
Test.gain.with.only.mixed_forests,0.0442,0.0396,0.0723,0.0188,0.0523,0.0309,0.0613,0.0569,0.0553,0.0614,0.0493
Test.gain.with.only.open_shrublands,0.0301,0.0295,-0.0025,-0.033,0.0319,0.0214,0.03,-0.0298,0.0228,0.0261,0.0126
Test.gain.with.only.precipitation_of_wettest_quarter.1,0.6356,0.6491,0.5861,0.59,0.5725,0.4781,0.7203,0.6199,0.6178,0.6229,0.6092
