annual_precipitation,precipitation_seasonality,annual_mean_temperature,temperature_seasonality,urban_areas,croplands,snow_ice,wetlands,mixed_forests,evergreen_needleleaf_forest,evergreen_broadleaf_forest,deciduous_needleleaf_forest,deciduous_broadleaf_forest,closed_shrubland,open_shrublands,woody_savannas,savannas,barren_vegetation,grasslands
B_jonellus,6.0964,6.9971,48.6565,24.4378,0.3711,2.8259,0.1402,0.3584,0.5286,0.6984,0,0.035,0.4801,0.0463,2.485,1.4511,0.1591,2.5269,1.7061
B_laesus,11.7724,6.7749,17.8878,17.0155,4.1074,0.6799,0,0.2875,17.1725,0.0538,0,0.0947,0.3302,0.312,1.8988,4.6742,0.0789,5.4284,11.4311
B_lapidarius,15.7634,19.0135,21.9865,33.0282,0.7298,2.2711,0.0285,0.3135,2.4618,0.6358,0,0.0593,0.544,0.1016,0.9484,0.5564,0.0239,0.0503,1.4838
B_lapponicus,47.3268,0.9751,14.9158,7.0338,0.0093,6.9337,11.488,0.1088,0.0569,1.5126,0,0.2117,2.434,0.0058,1.7732,1.5712,0.282,2.3535,1.0077
B_lucorum,7.635,8.8952,30.2083,42.0159,0.9053,1.0534,0.1919,0.3532,1.8707,0.6199,0.0028,0.0048,0.323,0.003,0.0821,1.4506,0.0911,3.0832,1.2106
B_magnus,4.2975,6.3237,1.77,23.8049,0.9041,2.4478,0.0275,1.2579,0.7223,27.9771,25.5167,0.0182,0.2704,0.518,0.7101,2.3161,0.1967,0.8536,0.0673
B_melanurus,2.7106,3.5022,39.5064,9.3662,0.1185,3.3727,0.155,0.0032,5.1308,0.4522,0,0,0.1878,0.2672,17.4741,7.0034,4e-04,0.911,9.8384
B_mendax,0.9142,4.123,7.9138,58.4297,0.0854,0.3173,0.096,0,17.7821,0.1466,0,0.0017,0.1348,0.3406,6.7618,0.067,0.1665,0.1626,2.5569
B_mesomelas,0.8519,8.611,3.6888,17.1521,1.9799,12.5988,3.2929,4.122,8.2175,2.29,0.0106,0,0.2677,0.1419,2.5647,0.2797,0.0026,20.5279,13.3998
B_mlokosievitzi,1.1814,36.4068,11.7977,18.8603,0.3791,1.2496,0.2081,0.897,0.0965,0.1971,0,0,0.8423,1.0956,4.8575,0.6358,0.0468,1.1949,20.0534
B_mocsaryi,6.8323,23.5918,36.2767,5.6544,0.2519,6.3722,0,1.2371,0.263,0.3676,0,0.0771,0.3327,0.0298,6.871,2.093,0.0733,0.0946,9.5814
B_monticola,33.7576,4.5612,21.5725,23.253,0.4287,2.6339,0.3121,0.0969,2.1378,0.3233,0,0.498,0.0049,0.1377,1.8302,0.7775,0.2411,0.9738,6.4598
B_mucidus,9.1479,2.7224,11.6028,49.2732,0.5431,2.869,1e-04,0.0271,5.1412,0.1234,0.0071,1.1243,0.0225,0.5238,12.8247,0.1525,0.2615,1.5722,2.0612
B_muscorum,31.7682,8.2986,15.8095,15.879,1.8302,5.8271,0,0.1223,5.0523,1.4201,0.0112,0.0448,0.1129,0.0226,2.8892,1.3533,0.1542,3.9424,5.462
B_niveatus,13.3162,4.7817,3.3136,19.9582,1.0392,4.6943,0.1403,1.9497,0.3044,0.1384,0,2e-04,0.3574,0.2478,1.3739,1.7709,0.7402,0.0719,45.8019
B_norvegicus,3.7838,3.2457,30.3951,28.3742,1.7789,9.5237,1.0491,0.9862,1.5899,0.4261,1e-04,0.2475,0.7679,0.2234,0.792,3.0374,0.1843,12.1553,1.4392
B_pascuorum,7.8568,11.983,7.1429,29.1677,1.8793,9.3561,0.2244,0.0274,9.4612,4.6364,6e-04,0.0078,0.1485,0.1057,3.3735,4.3519,0.0763,0.1642,10.0363
B_persicus,0.5102,1.1742,19.8728,10.0183,1.8315,0.5388,0.1042,7.2013,0.1281,0.308,0,0,0.0606,0.0081,0.2672,5.155,2.4356,0.6639,49.7223
