,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
AUC.with.only.croplands,0.7313,0.709,0.7513,0.7123,0.7394,0.7552,0.7011,0.7303,0.7662,0.7427,0.7339
AUC.with.only.deciduous_broadleaf_forest,0.4842,0.507,0.4929,0.4842,0.4898,0.4983,0.4984,0.5014,0.5014,0.4985,0.4956
AUC.with.only.deciduous_needleleaf_forest,0.5035,0.4949,0.5035,0.5035,0.5035,0.4949,0.5035,0.4949,0.5035,0.5035,0.5009
AUC.with.only.evergreen_broadleaf_forest,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AUC.with.only.evergreen_needleleaf_forest,0.5075,0.4192,0.533,0.5264,0.5164,0.533,0.5054,0.5114,0.5347,0.5642,0.5151
AUC.with.only.grasslands,0.5707,0.5874,0.5868,0.5627,0.595,0.5441,0.5657,0.5932,0.5423,0.5852,0.5733
AUC.with.only.mixed_forests,0.5797,0.5971,0.6459,0.5633,0.5826,0.5861,0.5735,0.6446,0.5824,0.6313,0.5986
AUC.with.only.open_shrublands,0.5462,0.5089,0.554,0.5095,0.5051,0.5332,0.5147,0.5304,0.5366,0.525,0.5264
AUC.with.only.precipitation_seasonality,0.7724,0.7639,0.7544,0.7533,0.7696,0.7653,0.7762,0.7728,0.7453,0.7315,0.7605
AUC.with.only.savannas,0.5067,0.4981,0.5067,0.5067,0.5067,0.5067,0.5067,0.5067,0.5067,0.5067,0.5058
AUC.with.only.snow_ice,0.5054,0.5054,0.5054,0.5054,0.5054,0.5054,0.5054,0.5054,0.5054,0.5054,0.5054
AUC.with.only.temperature_seasonality,0.6697,0.7069,0.6643,0.6733,0.6583,0.7243,0.6641,0.6377,0.6646,0.7096,0.6773
AUC.with.only.urban_areas,0.5835,0.6097,0.5923,0.6266,0.5836,0.5836,0.6014,0.575,0.6267,0.5746,0.5957
AUC.with.only.wetlands,0.5008,0.5093,0.5008,0.5177,0.5177,0.5093,0.5177,0.4922,0.5093,0.5093,0.5084
AUC.with.only.woody_savannas,0.5893,0.5609,0.5811,0.5209,0.6176,0.5907,0.6002,0.5655,0.5577,0.5867,0.5771
Entropy,7.1667,7.0617,7.2228,7.1066,7.142,7.1313,7.1592,0.0027,7.2497,7.2049,6.4448
Prevalence..average.probability.of.presence.over.background.sites.,0.0758,0.0695,0.0805,0.0712,0.0741,0.0742,0.076,1e-04,0.0826,0.0794,0.0683
Fixed.cumulative.value.1.cumulative.threshold,1,1,1,1,1,1,1,1,1,1,1
Fixed.cumulative.value.1.Cloglog.threshold,0.0275,0.0323,0.0205,0.0211,0.0218,0.0213,0.0242,0.633,0.0213,0.0212,0.0844
Fixed.cumulative.value.1.area,0.3064,0.2612,0.3438,0.323,0.3271,0.3172,0.3089,1e-04,0.3507,0.3369,0.2875
Fixed.cumulative.value.1.training.omission,0.0213,0.0681,0.0085,0.017,0.0213,0.0255,0.017,0.983,0.0085,0.0043,0.1174
Fixed.cumulative.value.1.test.omission,0.0517,0.1724,0,0.0345,0,0.0172,0.0345,1,0,0.0517,0.1362
Fixed.cumulative.value.1.binomial.probability,1.429e-26,4.653e-23,3.437e-26,6.311e-26,4.466e-28,6.328e-28,1.34e-27,0.5304,1.834e-25,3.392e-23,0.053
Fixed.cumulative.value.5.cumulative.threshold,5,5,5,5,5,5,5,5,5,5,5
Fixed.cumulative.value.5.Cloglog.threshold,0.0946,0.0999,0.0866,0.0813,0.0823,0.0917,0.0923,0.633,0.0891,0.0899,0.1441
Fixed.cumulative.value.5.area,0.2162,0.1915,0.2341,0.221,0.2236,0.2189,0.2151,1e-04,0.2371,0.2305,0.1988
Fixed.cumulative.value.5.training.omission,0.0638,0.1064,0.0426,0.0596,0.0638,0.0681,0.0553,0.983,0.0596,0.0553,0.1557
Fixed.cumulative.value.5.test.omission,0.069,0.1897,0.0862,0.069,0.069,0.0345,0.069,1,0.0517,0.0862,0.1724
Fixed.cumulative.value.5.binomial.probability,3.155e-40,2.327e-33,1.146e-34,3.996e-39,1.511e-38,2.51e-43,1.736e-40,0.5304,1.895e-37,2.258e-35,0.053
Fixed.cumulative.value.10.cumulative.threshold,10,10,10,10,10,10,10,10,10,10,10
Fixed.cumulative.value.10.Cloglog.threshold,0.1428,0.1542,0.1395,0.1284,0.1362,0.1382,0.1468,0.633,0.148,0.144,0.1911
Fixed.cumulative.value.10.area,0.1639,0.1478,0.1754,0.1649,0.1677,0.1667,0.1637,1e-04,0.1805,0.1755,0.1506
Fixed.cumulative.value.10.training.omission,0.1064,0.1447,0.0979,0.1149,0.0979,0.1191,0.1064,0.983,0.0809,0.1021,0.1953
Fixed.cumulative.value.10.test.omission,0.1379,0.2241,0.1207,0.1207,0.1034,0.0862,0.1207,1,0.1207,0.1207,0.2155
Fixed.cumulative.value.10.binomial.probability,4.393e-47,1.061e-41,2.01e-45,5.676e-49,3.109e-50,6.459e-53,2.087e-49,0.5304,7.56e-44,2.163e-45,0.053
Minimum.training.presence.cumulative.threshold,0,0,0.1255,3e-04,0.0032,0,0.0033,0,0.0459,0.0767,0.0255
Minimum.training.presence.Cloglog.threshold,0,0,0.003,0,2e-04,0,1e-04,0,0.0013,0.0022,7e-04
