,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
AUC.without.deciduous_broadleaf_forest,0.9752,0.9881,0.9668,0.9794,0.9753,0.986,0.9963,0.9852,0.9705,0.9879,0.9811
AUC.without.deciduous_needleleaf_forest,0.9773,0.989,0.958,0.9754,0.9773,0.9873,0.997,0.9862,0.966,0.9877,0.9801
AUC.without.evergreen_broadleaf_forest,0.9773,0.989,0.958,0.9754,0.9773,0.9873,0.997,0.9862,0.966,0.9877,0.9801
AUC.without.evergreen_needleleaf_forest,0.9789,0.9894,0.9573,0.9757,0.9753,0.9877,0.997,0.9861,0.9693,0.9865,0.9803
AUC.without.grasslands,0.9555,0.9833,0.9655,0.9807,0.9603,0.9783,0.9957,0.9778,0.9633,0.985,0.9745
AUC.without.mixed_forests,0.976,0.9897,0.9589,0.9754,0.9775,0.988,0.9974,0.9856,0.9672,0.9876,0.9803
AUC.without.open_shrublands,0.9746,0.9889,0.946,0.9707,0.9805,0.9866,0.9972,0.9851,0.9597,0.988,0.9777
AUC.without.precipitation_of_wettest_quarter.1,0.9822,0.9916,0.9721,0.9695,0.983,0.9831,0.9965,0.985,0.9606,0.9926,0.9816
AUC.without.precipitation_of_wettest_quarter.2,0.9709,0.9827,0.9723,0.9542,0.9533,0.9854,0.9907,0.9602,0.9685,0.9906,0.9729
AUC.without.precipitation_of_wettest_quarter.3,0.9592,0.9825,0.9469,0.9807,0.9597,0.9823,0.9964,0.9825,0.9631,0.9805,0.9734
AUC.without.precipitation_of_wettest_quarter.4,0.977,0.9862,0.9796,0.9825,0.9806,0.9898,0.9929,0.984,0.9803,0.9923,0.9845
AUC.without.savannas,0.9769,0.989,0.958,0.9749,0.9768,0.9873,0.9969,0.9863,0.966,0.9879,0.98
AUC.without.snow_ice,0.9774,0.9889,0.9601,0.9777,0.977,0.9888,0.9967,0.9862,0.969,0.9878,0.981
AUC.without.urban_areas,0.9771,0.9893,0.9575,0.9747,0.9774,0.9878,0.9971,0.9859,0.9677,0.9882,0.9803
AUC.without.wetlands,0.9754,0.9886,0.9579,0.9755,0.9736,0.9869,0.9966,0.9853,0.9689,0.9878,0.9797
AUC.without.woody_savannas,0.9787,0.9884,0.972,0.982,0.9786,0.9876,0.9967,0.9853,0.9752,0.9873,0.9832
AUC.with.only.barren_vegetation,0.6895,0.6895,0.6895,0.6895,0.6895,0.6895,0.6895,0.6895,0.6895,0.6895,0.6895
AUC.with.only.closed_shrubland,0.3452,0.493,0.5777,0.493,0.5777,0.493,0.493,0.5777,0.493,0.5777,0.5121
AUC.with.only.croplands,0.8064,0.8092,0.8316,0.8799,0.8383,0.7884,0.8875,0.7371,0.6172,0.7241,0.792
AUC.with.only.deciduous_broadleaf_forest,0.532,0.532,0.532,0.532,0.532,0.532,0.532,0.532,0.532,0.532,0.532
