,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
Training.gain.with.only.annual_mean_temperature,1.1349,1.1102,1.0889,1.1215,1.1166,1.1056,1.1381,1.1494,1.095,1.1247,1.1185
Training.gain.with.only.annual_precipitation,1.1989,1.2087,1.2051,1.2215,1.2296,1.2146,1.2023,1.1893,1.1968,1.2023,1.2069
Training.gain.with.only.barren_vegetation,0.4072,0.4072,0.4072,0.4072,0.4072,0.4072,0.4072,0.4072,0.4072,0.4072,0.4072
Training.gain.with.only.closed_shrubland,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04
Training.gain.with.only.croplands,0.1902,0.1949,0.1723,0.174,0.1801,0.1796,0.1764,0.1785,0.1704,0.1939,0.181
Training.gain.with.only.deciduous_broadleaf_forest,1e-04,2e-04,1e-04,4e-04,2e-04,2e-04,8e-04,2e-04,1e-04,2e-04,3e-04
Training.gain.with.only.deciduous_needleleaf_forest,0,0.0032,0.006,0,0,0,4e-04,0,0,4e-04,0.001
Training.gain.with.only.evergreen_broadleaf_forest,0,0,0,0,0,0,0,0,0,0,0
Training.gain.with.only.evergreen_needleleaf_forest,0.771,0.7684,0.7718,0.7449,0.7118,0.754,0.7458,0.7439,0.7074,0.7306,0.745
Training.gain.with.only.grasslands,0.1849,0.1753,0.1863,0.1932,0.1769,0.1761,0.174,0.1754,0.1721,0.1988,0.1813
Training.gain.with.only.mixed_forests,0.9987,0.9801,0.9784,0.9928,0.9837,0.9565,1.0272,1.0198,0.9639,1.0185,0.992
Training.gain.with.only.open_shrublands,0.104,0.0958,0.0957,0.0961,0.0977,0.0943,0.1126,0.1071,0.0958,0.0936,0.0993
Training.gain.with.only.precipitation_seasonality,0.686,0.687,0.6779,0.7063,0.6939,0.6908,0.6858,0.6807,0.689,0.6776,0.6875
Training.gain.with.only.savannas,0.0046,0.006,0.0033,0.006,0.0075,0.0075,0.0033,0.0046,0.0033,0.0033,0.0049
Training.gain.with.only.snow_ice,0.0028,0.0018,0.0018,0.0028,3e-04,3e-04,0.0011,0.0018,7e-04,0.0011,0.0014
Training.gain.with.only.temperature_seasonality,0.4241,0.4307,0.4588,0.4256,0.4473,0.4247,0.4232,0.4182,0.4482,0.4174,0.4318
Training.gain.with.only.urban_areas,0.1223,0.1187,0.1193,0.1108,0.1031,0.127,0.1109,0.1029,0.1325,0.1033,0.1151
Training.gain.with.only.wetlands,0.0169,0.0183,0.0189,0.0164,0.0165,0.0169,0.0172,0.0169,0.0164,0.0181,0.0172
Training.gain.with.only.woody_savannas,0.0605,0.0616,0.0539,0.06,0.0507,0.0719,0.0694,0.0697,0.048,0.0624,0.0608
Test.gain.without.annual_mean_temperature,2.5265,2.6109,2.3585,2.5375,2.5459,2.4781,2.5432,2.7627,2.6572,2.7024,2.5723
Test.gain.without.annual_precipitation,2.6742,2.9536,2.7329,2.9489,2.7523,2.796,2.7715,3.0279,2.9094,2.9764,2.8543
Test.gain.without.barren_vegetation,2.8707,3.1033,2.8788,3.1038,2.8701,2.8891,2.8601,3.1662,3.0427,3.1028,2.9888
Test.gain.without.closed_shrubland,2.8836,3.107,2.8724,3.1109,2.8742,2.8891,2.8632,3.1702,3.0416,3.1044,2.9917
Test.gain.without.croplands,2.8671,3.1027,2.8551,3.0991,2.8665,2.903,2.8256,3.1685,3.075,3.0682,2.9831
Test.gain.without.deciduous_broadleaf_forest,2.8753,3.0845,2.851,3.0943,2.8627,2.8794,2.8558,3.166,3.0524,3.1048,2.9826
Test.gain.without.deciduous_needleleaf_forest,2.8848,3.1077,2.9329,3.1079,2.8872,2.8903,2.8593,3.1715,3.0548,3.0938,2.999
Test.gain.without.evergreen_broadleaf_forest,2.8795,3.1077,2.8685,3.1017,2.8723,2.8896,2.859,3.1663,3.0425,3.0956,2.9883
Test.gain.without.evergreen_needleleaf_forest,2.7175,3.0619,2.7511,2.9698,2.7381,2.7813,2.8101,3.0369,2.901,2.9753,2.8743
Test.gain.without.grasslands,2.8697,3.0629,2.8344,3.0747,2.8233,2.8503,2.8155,3.084,3.037,3.0321,2.9484
Test.gain.without.mixed_forests,2.7767,3.0331,2.9009,3.0466,2.8329,2.8599,2.8167,3.1453,3.0107,3.1041,2.9527
Test.gain.without.open_shrublands,2.816,2.9963,2.8112,3.0173,2.836,2.8794,2.8233,3.1346,3.0064,3.0196,2.934
Test.gain.without.precipitation_seasonality,2.8343,3.0599,2.8981,3.0749,2.8813,2.866,2.8324,3.137,3.0052,3.0764,2.9665
Test.gain.without.savannas,2.7853,3.0234,2.889,3.0251,2.8782,2.9254,2.8375,3.1172,3.0086,3.035,2.9525
Test.gain.without.snow_ice,2.8907,3.1013,2.8784,3.119,2.8778,2.8773,2.8702,3.1589,3.0452,3.0929,2.9912
Test.gain.without.temperature_seasonality,2.5758,2.7002,2.763,2.7191,2.7465,2.6598,2.612,2.8132,2.8934,2.799,2.7282
Test.gain.without.urban_areas,2.7252,2.9934,2.6865,2.915,2.7207,2.7549,2.7771,2.9457,2.8892,2.9727,2.838
Test.gain.without.wetlands,2.8616,3.0895,2.8365,3.1058,2.859,2.8918,2.8645,3.1628,3.0298,3.1261,2.9827
Test.gain.without.woody_savannas,2.8306,3.0707,2.8348,3.0668,2.807,2.8575,2.8669,3.1296,3.0023,3.0892,2.9555
Test.gain.with.only.annual_mean_temperature,1.0758,1.1718,1.2526,1.125,1.1475,1.191,1.0619,1.015,1.2298,1.1172,1.1388
Test.gain.with.only.annual_precipitation,1.284,1.2529,1.2606,1.1917,1.1677,1.23,1.2751,1.3287,1.2958,1.2715,1.2558
Test.gain.with.only.barren_vegetation,0.4135,0.4135,0.4135,0.4135,0.4135,0.4135,0.4135,0.4135,0.4135,0.4135,0.4135
Test.gain.with.only.closed_shrubland,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011
Test.gain.with.only.croplands,0.1365,0.1209,0.2089,0.2028,0.1799,0.1821,0.1956,0.186,0.2184,0.1241,0.1755
Test.gain.with.only.deciduous_broadleaf_forest,3e-04,1e-04,5e-04,-0.0018,-2e-04,1e-04,-0.0079,1e-04,4e-04,-1e-04,-9e-04
